question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: 23 apples
Explanation: John has 5 apples. He buys 3 more each day. How many after 4 days?
Number of apples after 1 day = 5 + 3 = 8 apples
Number of apples after 2 days = 8 + 3 = 11 apples
Number of apples after 3 days = 11 + 3 = 14 apples
Number of apples after 4 days = 14 + 3 = 17 apples
Total number of apples = 5 + 8 + 11 + 14 + 17 = 55 apples
Number of apples after 4 days = 17 apples",Simple Equations,Easy,0.039999999999999994,1.6434963801736401e-155
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: $8
Explanation: The equation 4 x 2 = 8 is used to solve this problem. The value of x is 2, which is the cost of 1 pen. Multiply the value of x by 4, which is the number of pens.",Basic Arithmetic,Easy,0.03508771929824561,6.630398171726777e-232
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: 7
Explanation: Let x be the age of Tom. Jane is 12. x is 5 years younger than Jane. So, x - 5 = 12 x = 17",Age Problems (Basic),Easy,0.08163265306122448,9.062324668412783e-232
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: 60 miles
Explanation: To solve this problem, you must multiply the speed of the car by the number of hours that it travels. Since the car travels at 30 miles per hour and it travels for 2 hours, you multiply 30 by 2 to get 60 miles.",Distance-Rate-Time,Easy,0.05633802816901409,2.1433357790072012e-155
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has 15 apples and Mary has 10 apples.
Step-by-step explanation: Mary has 5 apples.
Mary has 5 apples. Mary has 5 apples.
John has 10 apples. John has 10 apples.
John and Mary together have 30 apples. John and Mary together have 30 apples.
John has 5 more apples than Mary. John has 5 more apples than Mary.
John has 5 more apples than Mary. John has 5 more apples than Mary.
Mary has 5 apples. Mary has 5 apples.
Mary has 5 apples. Mary has 5 apples.
John has 10 apples. John has 10 apples.
John and Mary together have 30 apples. John and Mary together",Equations with Two Variables,Medium,0.09523809523809525,0.020339474481369392
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
In the solution, 30% of sugar is present.
30% = 0.3
Multiply 0.3 by 5 to get the amount of sugar in the solution.
0.3 × 5 = 1.5
The amount of sugar in the solution is 1.5 liters.
The correct option is A. 1.5 liters
Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: A solution contains 30% sugar. If there are 5 liters of",Mixture Problems,Medium,0.07462686567164178,2.478262969701856e-155
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: 2 hours 24 minutes
Explanation: We have to find the time taken by both John and Mary to paint the wall together.
John takes 4 hours to paint the wall.
Mary takes 6 hours to paint the wall.
The time taken by John and Mary to paint the wall together is 1/4 + 1/6 = 5/12 = 2 hours 24 minutes.",Work Problems,Medium,0.06382978723404255,5.898586811762746e-232
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: 11
Explanation: Let's assume that Peter is x years old.
In 5 years, Peter will be twice as old as he was 3 years ago.
=> (x+5) = 2(x-3)
=> x+5 = 2x-6
=> 2x-x = 5+6
=> x = 11
Hence, Peter is 11 years old.",Age Problems (Complex),Medium,0.07894736842105263,2.305625093843957e-155
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: $1,015.50
Explanation: Use the formula for compound interest: A = P(1 + r)n
A = amount after compound interest
P = principal (the original amount invested)
r = annual interest rate (a percent divided by 100)
n = number of times the interest is compounded per year
A = 1,000(1 + 0.05)3
A = 1,000(1.05)3
A = 1,000(1.157625)
A = 1,015.50",Investment Problems,Medium,0.02127659574468085,0.0
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: The dimensions of the garden are 10m x 5m.
Perimeter = 2(Length + Width)
Area = Length x Width
Let x be the length of the garden.
Let y be the width of the garden.
2(x + y) = 30
x + y = 15
Area = 50 square meters
x y = 50
Substitute x with 15 – y
(15 – y) y = 50
15y – y² = 50
y² – 15y + 50 = 0
y² – 10y – 5y + 50 = 0
y(y – 10) – 5(y – 10) =",Quadratic Equations,Hard,0.037037037037037035,5.4595004015312194e-232
