question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer:
Step-by-step explanation:
It’s easy to see that the answer is 17. But let’s show the answer mathematically.
The number of apples after each day is
So the number of apples after 4 days is
We have the following sequence:
This is an arithmetic progresion of the form
where
So the 4th day is
The number of apples after 4 days is 17.",Simple Equations,Easy,0.0449438202247191,6.0358550325078056e-232
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer:
The total cost of 4 pens is $8.
Explanation:
A pen costs $2
The cost of 4 pens = cost of 1 pen x 4
= 2 x 4 = $8",Basic Arithmetic,Easy,0.044444444444444446,6.957990942521506e-232
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer:
Jane is 12 years old. Tom is 5 years younger than Jane.
Jane - Tom = 5
Jane = 12
12 - Tom = 5
12 - 5 - Tom = 5 - 5
7 = Tom
Tom is 7 years old.
Question 3:
Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 14, how old is Tom?
Answer:
Jane is 14 years old. Tom is 5 years younger than Jane.
Jane - Tom = 5
Jane = 14
14 - Tom = 5
14 - 5 - Tom =",Age Problems (Basic),Easy,0.05882352941176471,1.8188277290311434e-155
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer:
A car travels at 30 miles per hour. How far does it travel in 2 hours?
A car travels at 30 miles per hour.
1 hour = 30 miles
2 hours = 60 miles

## Related Posts
- A car travels at 30 miles per hour. How far does it travel in 2 hours?
- A car travels at 60 miles per hour. How far does it travel in 2 hours?
- A car travels at 30 miles per hour. How far does it travel in 3 hours?",Distance-Rate-Time,Easy,0.03773584905660378,1.6952155164191578e-155
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer:
John has 17 apples and Mary has 13 apples.
Explanation:
Let’s assume that John has “x” apples and Mary has “y” apples.
John and Mary together have 30 apples.
x + y = 30
John has 5 more apples than Mary.
x = y + 5
y + 5 + y = 30
2y = 30 - 5
2y = 25
y = 25/2
y = 12.5
y = 13
x = 13 + 5 = 18
John has 17 apples and Mary has",Equations with Two Variables,Medium,0.16666666666666669,0.059672661001471186
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: 1.5 liters",Mixture Problems,Medium,0.24242424242424243,4.87371842328988e-155
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: 2 hours and 24 minutes
Explanation:
To solve this problem, we need to use a formula that relates the time it takes to complete a task to the individual times it takes to complete the task. This formula is:
T = 1 / (1/t1 + 1/t2)
where t1 and t2 are the times it takes the individual workers to complete the task, and T is the time it takes to complete the task when both workers work together.
In this case, we have t1 = 4 hours and t2 = 6 hours, so we can plug these values into the formula to get:
T = 1 / (1/4 + 1/",Work Problems,Medium,0.04347826086956522,5.296345581277523e-232
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer:
Let x be Peter’s age now.
Then Peter’s age in 5 years will be x + 5.
And Peter’s age 3 years ago would be x – 3.
So, we can write x + 5 = 2(x – 3).
Solving for x, we get x = 11.
So, Peter is 11 years old now.

## Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Math Tutoring Content

## How do you solve math problems step by step?
Solving math problems can",Age Problems (Complex),Medium,0.049180327868852465,5.207284935690976e-79
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer:
Formula: A = p(1 + r/n)^nt
A = total amount after 3 years
p = $1,000
r = 5% = .05
n = 1 (compounded annually)
t = 3 (years)
A = 1000(1 + .05/1)^1(3)
A = 1000(1.05)^3
A = 1000(1.157625)
A = $1157.625
Therefore, after 3 years Tom will have $1157.625.",Investment Problems,Medium,0.024691358024691357,0.0
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer:
The dimensions of the garden are 5 meters by 10 meters.
Explanation:
The perimeter of a rectangle is the sum of the lengths of its four sides.
Let’s assume the length of the garden is x meters and the width is y meters. The perimeter of the garden is 30 meters, so we can write the equation:
2x + 2y = 30
Simplifying this equation, we get:
x + y = 15
The area of a rectangle is the product of its length and width. The area of the garden is 50 square meters, so we can write the equation:
x * y = 50
We have two equations with",Quadratic Equations,Hard,0.07194244604316546,0.0170212704847124
