question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: John starts with 5 apples
He buys 3 more each day
After 1 day, he has 5 + 3 = 8 apples
After 2 days, he has 8 + 3 = 11 apples
After 3 days, he has 11 + 3 = 14 apples
After 4 days, he has 14 + 3 = 17 apples
So, John will have 17 apples after 4 days.The answer is: 17",Simple Equations,Easy,0.048192771084337345,1.8963968856510385e-155
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: If one pen costs $2, then four pens will cost 4 * $2 = $8.
#### 8
The answer is: 8",Basic Arithmetic,Easy,0.05714285714285715,0.0
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: If Jane is 12, and Tom is 5 years younger than Jane, then Tom is 12 - 5 = 7 years old.
#### 7
The answer is: 7",Age Problems (Basic),Easy,0.12244897959183672,2.8189878239914012e-155
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: If the car travels at 30 miles per hour, then in 2 hours it will travel 30 miles/hour * 2 hours = 60 miles.
The car will travel 60 miles in 2 hours.
#### 60
The answer is: 60",Distance-Rate-Time,Easy,0.06557377049180328,2.2806542110652185e-155
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's assume Mary has x apples.
Since John has 5 more apples than Mary, John has x + 5 apples.
Together, they have x + (x + 5) = 30 apples.
Combining like terms, we get 2x + 5 = 30.
Subtracting 5 from both sides, we get 2x = 25.
Dividing both sides by 2, we get x = 12.5.
Since we can't have half an apple, we know that Mary has 12 apples and John has 12 + 5 = 17 apples.
There",Equations with Two Variables,Medium,0.10434782608695653,3.344918910030833e-155
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: 30% of the solution is sugar, so 30% of 5 liters is 0.30 * 5 = 1.5 liters.
Therefore, there is 1.5 liters of sugar in the solution.The answer is: 1.5",Mixture Problems,Medium,0.15625,0.04062073000466025
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: John takes 4 hours to paint a wall, so his rate is 1/4 of the wall per hour.
Mary takes 6 hours to paint a wall, so her rate is 1/6 of the wall per hour.
To find their combined rate, we add their individual rates: 1/4 + 1/6 = 3/12 + 2/12 = 5/12 of the wall per hour.
Therefore, it will take them 12/5 = 2.4 hours to paint the wall together.
The answer is: 2.4",Work Problems,Medium,0.05172413793103448,1.7109126262148864e-155
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's assume that Peter's current age is P.
Peter was 3 years ago P - 3.
In 5 years, Peter will be P + 5.
According to the given information, P + 5 = 2(P - 3).
Expanding the equation, we get P + 5 = 2P - 6.
Simplifying the equation, we get P = 11.
Therefore, Peter is currently 11 years old.
#### 11
The answer is: 11",Age Problems (Complex),Medium,0.06521739130434782,2.0088791894285736e-155
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: The formula for compound interest is given by $A = P \cdot (1 + r)^n$, where $A$ is the final amount, $P$ is the principal (initial amount), $r$ is the interest rate as a decimal, and $n$ is the number of compounding periods.
In this case, Tom invests $1,000 at 5% interest compounded annually, so $P = 1,000$, $r = 0.05$, and $n = 3$.
Plugging these values into the formula, we get $A = 1,000 \cdot (1 + 0.05)^3$.
Evalu",Investment Problems,Medium,0.018518518518518517,0.0
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let the length of the garden be $l$ and the width be $w$.
We know that the perimeter is $2l + 2w = 30$ and the area is $lw = 50$.
Solving the first equation for $l$, we get $l = 15 - w$.
Substituting this into the second equation, we get $(15 - w)w = 50$.
Expanding and rearranging, we get $w^2 - 15w + 50 = 0$.
Factoring, we get $(w - 5)(w - 10) = 0$.
So, $w",Quadratic Equations,Hard,0.03809523809523809,0.0
