question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: John starts with 5 apples.

Each day, he buys 3 more apples.

After 1 day, he will have his original 5 apples plus the 3 he bought, so \(5 + 3 = 8\) apples.

After 2 days, he will have the total from the first day (8 apples) plus the 3 he buys again, so \(8 + 3 = 11\) apples.

After 3 days, he will have the total from the second day (11 apples) plus the 3 he buys again, so \(11 + 3 = 14\) apples.

After 4 days, he will have the total from the third day (14 apples) plus the",Simple Equations,Easy,0.01652892561983471,5.448548490014436e-232
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: If one pen costs $2, then four pens will cost:

\( 4 \times $2 = $8 \)

So, four pens will cost $8.",Basic Arithmetic,Easy,0.05405405405405406,7.290245807398516e-232
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: If Jane is 12 years old and Tom is 5 years younger than Jane, then Tom's age can be calculated by subtracting 5 from Jane's age.

So, Tom's age = Jane's age - 5
Tom's age = 12 - 5
Tom's age = 7

Therefore, Tom is 7 years old.",Age Problems (Basic),Easy,0.07999999999999999,2.7804873983407155e-155
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: The distance traveled by a car can be calculated using the formula:

Distance = Speed × Time

Given that the speed of the car is 30 miles per hour and the time is 2 hours, we can substitute these values into the formula to find the distance.

Distance = 30 miles/hour × 2 hours = 60 miles

Therefore, the car travels 60 miles in 2 hours.",Distance-Rate-Time,Easy,0.046511627906976744,1.8963968856510385e-155
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's denote the number of apples that Mary has as \( M \). According to the problem, John has 5 more apples than Mary, so we can express the number of apples that John has as \( M + 5 \).

We are given that together they have 30 apples. Therefore, we can set up the following equation:

\[ M + (M + 5) = 30 \]

Now, let's solve for \( M \):

\[ 2M + 5 = 30 \]

Subtract 5 from both sides:

\[ 2M = 25 \]

Divide both sides by 2:

\[ M = 12.5 \]

However, since it's not",Equations with Two Variables,Medium,0.09677419354838708,2.774090635775731e-155
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To find out how much sugar is in the solution, you can calculate it as follows:

\[ \text{Amount of sugar} = \text{Total volume of solution} \times \text{Percentage of sugar} \]

Given that the total volume of the solution is 5 liters and the percentage of sugar is 30%, or 0.30 when expressed as a decimal, the calculation would be:

\[ \text{Amount of sugar} = 5 \times 0.30 = 1.5 \]

Therefore, there is 1.5 liters of sugar in the solution.",Mixture Problems,Medium,0.09009009009009009,0.0213864057290204
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: It will take John and Mary approximately 2.4 hours to paint the wall together.

Here's the reasoning:

1. John can paint 1/4 of the wall in 1 hour (since he takes 4 hours to paint the entire wall).
2. Mary can paint 1/6 of the wall in 1 hour (since she takes 6 hours to paint the entire wall).

Together, they can paint (1/4 + 1/6) of the wall in 1 hour. To find out how much of the wall they can paint together in 1 hour, we need to add their rates:

(1/4 + 1/6) = (3/12 + 2/12",Work Problems,Medium,0.04316546762589929,1.5588217218708338e-155
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's denote Peter's current age as \(x\). According to the problem:

1. In 5 years, Peter's age will be \(x + 5\).
2. Three years ago, Peter's age was \(x - 3\).

The problem states that in 5 years, Peter will be twice as old as he was 3 years ago. Therefore, we can write the equation:

\[x + 5 = 2(x - 3)\]

Expanding and solving for \(x\):

\[x + 5 = 2x - 6\]

Bringing like terms to one side gives:

\[5 + 6 = 2x - x\]

\[11 = x\]",Age Problems (Complex),Medium,0.034782608695652174,6.559626053441466e-232
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we can use the formula for compound interest:

\[ A = P(1 + r)^n \]

where:
- \(A\) is the amount of money accumulated after n years, including interest.
- \(P\) is the principal amount (the initial amount of money).
- \(r\) is the annual interest rate (decimal).
- \(n\) is the time the money is invested for in years.

Given:
- \(P = \$1,000\)
- \(r = 5\% = 0.05\) (as a decimal)
- \(n = 3\) years

Plugging these values into the formula:

\[ A = 1000(1 +",Investment Problems,Medium,0.018518518518518517,0.0
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: The dimensions of the garden are 10 meters by 5 meters.

Step-by-step explanation:
Let's denote the length of the garden as L and the width as W. We have two equations based on the given information:

1) Perimeter equation: \(2L + 2W = 30\)
2) Area equation: \(L \times W = 50\)

First, let's simplify the perimeter equation to find a relationship between L and W:

\(2L + 2W = 30\)

Divide both sides by 2:

\(L + W = 15\)

Now, we can express one variable in terms of the other using this simplified equation. Let's solve for",Quadratic Equations,Hard,0.045801526717557245,2.221730053515784e-155
