question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: On the first day, John has 5 apples. On the second day, he buys 3 more, so he has 8 apples. On the third day, he buys another 3, so he has 11 apples. On the fourth day, he buys another 3, so he has 14 apples. Therefore, John has 14 apples after 4 days.",Simple Equations,Easy,0.025641025641025637,6.17028075639052e-232
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: To find the cost of 4 pens, we can multiply the cost of one pen by 4. 
$2 x 4 = $8. 
Therefore, 4 pens will cost $8.
The answer is $8.",Basic Arithmetic,Easy,0.04166666666666667,0.0
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Let T represent Tom's age and J represent Jane's age. We are given that Tom is 5 years younger than Jane, so we can write the equation T = J - 5. We are also given that Jane is 12, so J = 12. Now we can substitute the value of J into the equation: T = 12 - 5. This simplifies to T = 7. Therefore, Tom is 7 years old.
The answer is 7.",Age Problems (Basic),Easy,0.0625,1.998443100417405e-155
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: To calculate the distance the car travels in 2 hours, we need to multiply the speed (30 miles per hour) by the time (2 hours). 

Distance = Speed x Time
Distance = 30 miles/hour x 2 hours
Distance = 60 miles

Therefore, the car travels 60 miles in 2 hours.",Distance-Rate-Time,Easy,0.05555555555555556,2.097886572800899e-155
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's assume Mary has x apples.
According to the question, John has 5 more apples than Mary, so John has (x + 5) apples.
Together, they have 30 apples, so we can write the equation: x + (x + 5) = 30.
Simplifying the equation, we get 2x + 5 = 30.
Subtracting 5 from both sides, we get 2x = 25.
Dividing both sides by 2, we get x = 12.5.
Since we can't have half an apple, Mary has 12 apples.",Equations with Two Variables,Medium,0.10434782608695653,3.0377226779710196e-155
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: To find the amount of sugar in the solution, we need to calculate 30% of 5 liters. 

Step 1: Convert the percentage to a decimal. 30% is equivalent to 0.30.
Step 2: Multiply the decimal by the total volume of the solution. 0.30 * 5 = 1.5.

Therefore, there is 1.5 liters of sugar in the solution.

The answer is 1.5 liters.",Mixture Problems,Medium,0.10526315789473684,0.025889510042735615
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: To solve this problem, we can use the concept of rate of production. Let's assume that the rate at which John can paint the wall is $J$ walls per hour, and the rate at which Mary can paint the wall is $M$ walls per hour. We are given that John takes 4 hours to paint a wall, so his rate is $J = \frac{1}{4}$ walls per hour. Similarly, Mary takes 6 hours to paint a wall, so her rate is $M = \frac{1}{6}$ walls per hour.

To find the combined rate at which they can paint the wall together, we add their individual rates: $J + M = \frac{1}{4",Work Problems,Medium,0.027586206896551727,5.30584579089779e-232
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's assume Peter's current age is x.
In 5 years, Peter's age will be x + 5.
3 years ago, Peter's age was x - 3.
According to the given information, in 5 years, Peter will be twice as old as he was 3 years ago. So, we can write the equation: x + 5 = 2(x - 3).
Simplifying the equation, we get: x + 5 = 2x - 6.
Bringing x to one side, we have: 2x - x = 5 + 6.
Simplifying further, we get: x =",Age Problems (Complex),Medium,0.035398230088495575,6.587480718373388e-232
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we can use the compound interest formula:

A = P(1 + r/n)^(nt)

Where:
A = the final amount
P = the principal amount
r = the annual interest rate (as a decimal)
n = the number of times interest is compounded per year
t = the number of years

In this case, the principal amount (P) is $1,000, the annual interest rate (r) is 5% or 0.05, the number of times interest is compounded per year (n) is 1 (since it is compounded annually), and the number of years (t) is 3.",Investment Problems,Medium,0.01652892561983471,0.0
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let the length of the garden be $l$ meters and the width be $w$ meters. We know that the perimeter of a rectangle is given by the formula $2l + 2w$, and the area is given by the formula $lw$. We have the following equations:
1. $2l + 2w = 30$
2. $lw = 50$

We can solve the first equation for $l$:
$l = 15 - w$

Now substitute this expression for $l$ in the second equation:
$(15 - w)w = 50$

Expanding and rearranging the equation, we get",Quadratic Equations,Hard,0.034188034188034185,6.559626053441466e-232
