question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: After 4 days John has ..... apples.


The sum of two numbers is 600 and the difference between them is 200. Find the largest number.
Answer: The largest number is ......

Which of the following is a prime number?
a) 37
b) 39
c) 41
d) 43
Answer: .....

The perimeter of a square is 200. What is the length of each side?
Answer: The length of each side is .....

The sum of 2002 and a 3-digit number is 2002. Find that 3-digit number.
Answer: That 3-",Simple Equations,Easy,0.018348623853211007,0.0
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer:
$

A pack of cookies costs $2. How much will 4 packs of cookies cost?
Answer:
$",Basic Arithmetic,Easy,0.0,0.0
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: <strong>_</strong> years old

<strong>A.</strong> 1 year
<strong>B.</strong> 7 years
<strong>C.</strong> 8 years
<strong>D.</strong> 5 years
<strong>E.</strong> 10 years
<strong>F.</strong> 9 years
<strong>G.</strong> 6 years
<strong>H.</strong> 4 years

Answer: <strong>B</strong>


<strong>A.</strong> 1 year
<strong>B.</strong> 7 years
<strong>C.</strong> 8 years
<strong>D.</strong> 5 years
<strong>E.</strong> 10 years
<strong>F.</strong> 9 years
<strong>G.</strong> 6 years
<strong>H.</strong> 4 years

Answer: <strong>B</strong>",Age Problems (Basic),Easy,0.034482758620689655,2.6868369635985546e-155
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: 60 miles.

Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: 60 miles.

Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: 60 miles.

Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: 60 miles.

Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: 60 miles.",Distance-Rate-Time,Easy,0.03278688524590164,6.545917251136179e-232
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has _______ apples and Mary has ___________ apples.

Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has ______ apples and Mary has ____________ apples.

Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has ______ apples and Mary has ____________ apples.

Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has ______ apples and Mary",Equations with Two Variables,Medium,0.09523809523809525,0.019063747964243864
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: The amount of sugar in the solution is ____ liters.


Hint: To solve this question, we will first understand the data given to us in the question and then we will proceed to solve the question using the mathematical formula which we will deduce in the question.

Complete step by step answer:
The whole solution is 5 liters.
The amount of sugar in the solution is 30% of the total solution.
Therefore, using this information, we can deduce the following equation:
$\Rightarrow \dfrac{30}{100}\times 5$
Now, we can simplify this equation as follows:
$\Rightarrow \dfrac{30}{100}\times 5=\dfrac{30\",Mixture Problems,Medium,0.06060606060606061,2.135639655544596e-155
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer:
They will paint the wall together in 
hours.

The sum of two numbers is 31. If one number is 17, find the other number.
Answer:
The other number is 

The product of two numbers is 132. If one number is 11, find the other number.
Answer:
The other number is 

The average of 10 numbers is 15. If the first 4 numbers are 12, 7, 10, and 15, find the average of the remaining 6 numbers.
Answer:

The average of 10 numbers is 20. If the first 4 numbers are 1",Work Problems,Medium,0.03225806451612903,5.493030127324876e-232
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Peter is now years old.

The following is a simplified version of the ""Tower of Hanoi"" problem:
There are three pegs labeled 1, 2, and 3. On peg 1 there are 3 disks of diameter 1, 2, and 3 centimetres. The disks are stacked on peg 1 in order from largest to smallest. We want to move all 3 disks to peg 3. The disks can be moved one at a time from one peg to another peg but only if the disk to be moved is the top disk on the peg holding it. A disk can never be placed on a smaller disk.
In how many moves can the disks be moved?
Answer: The disks can be",Age Problems (Complex),Medium,0.02702702702702703,6.2434382669642515e-232
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: $1,157.63

<h2>Compound Interest Calculator</h2>

Compound Interest Calculator

The formula for compound interest can be expressed as:

Where:

* P = the principle of investment
* r = the interest rate
* t = the number of years
* n = the number of times the interest is compounded

In the above example, P = $1000, r = 0.05, t = 3, and n = 1 (since it is compounded annually).

<h2>Additional Resources</h2>",Investment Problems,Medium,0.06382978723404255,5.835491250550373e-232
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: The garden is meters long and meters wide.

The answer is 10m and 5m",Quadratic Equations,Hard,0.08333333333333333,8.460552185460498e-232
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: A = and B =
(Use an integer or a fraction. Type your answer in the form Gadget A = a/b, Gadget B = c/d, where a, b, c, and d are integers.)",Systems of Equations,Hard,0.12987012987012989,3.1370721297783126e-155
