question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,rougeL_score,bleu_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: John starts with 5 apples.
He buys 3 more apples each day for 4 days.
So, the number of apples he buys in total is 3 * 4 = 12 apples.
Adding the apples he started with, John will have a total of 5 + 12 = 17 apples after 4 days.
#### 17

The answer is: 17.",Simple Equations,Easy,0.052631578947368425,2.002162353573271e-155
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: Let's think step by step.First, we know that the cost of one pen is $2. This is our starting point.

Next, we want to find out how much four pens will cost. We can do this by multiplying the cost of one pen by the number of pens we want to buy. In this case, we want to buy four pens, so we multiply $2 by 4.

Mathematically, this can be represented as:

$2 (cost of one pen) x 4 (number of pens) = $8 (total cost of four pens)

So, the total cost of four pens is $8.

Therefore, the final answer is",Basic Arithmetic,Easy,0.01639344262295082,5.50443835102825e-232
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: To solve this problem, we need to determine Tom's age based on the given information that he is 5 years younger than Jane.

Step 1: Identify the given information.
We know that Jane is 12 years old.

Step 2: Set up the equation.
Since Tom is 5 years younger than Jane, we can represent Tom's age as Jane's age minus 5. Let T represent Tom's age.
T = 12 - 5

Step 3: Solve the equation.
Now, we can solve the equation to find Tom's age.
T = 12 - 5
T = 7",Age Problems (Basic),Easy,0.03389830508474576,7.32173788293977e-232
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: To solve this problem, we need to use the formula: distance = speed × time.

Step 1: Identify the given values.
- Speed: 30 miles per hour
- Time: 2 hours

Step 2: Plug the given values into the formula.
- Distance = 30 miles/hour × 2 hours

Step 3: Perform the calculation.
- Distance = 30 miles/hour × 2 hours
- Distance = 60 miles

Step 4: State the final answer.
The car travels a distance of 60 miles in 2 hours.

The answer is: the car travels 6",Distance-Rate-Time,Easy,0.038461538461538464,1.679942681928048e-155
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: Let's think step by step.First, we need to define our variables. Let's use $x$ to represent the number of apples that Mary has. Since John has 5 more apples than Mary, we can represent the number of apples John has as $x+5$.

Now, we know that the total number of apples they have together is 30. So, we can write an equation to represent this relationship:

$x + (x+5) = 30$

Now, let's solve this equation for $x$:

Combine the terms on the left side of the equation:

$2x + 5 = 30",Equations with Two Variables,Medium,0.0909090909090909,2.6285277754452915e-155
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: 1.5 liters.

To solve this problem, we can use the following formula:

Amount of sugar = Percentage of sugar * Total volume of solution

First, we need to identify the given values in the problem:

Percentage of sugar = 30%
Total volume of solution = 5 liters

Now, we can plug these values into the formula:

Amount of sugar = (30/100) * 5 liters

To simplify the expression, we can divide 30 by 100:

Amount of sugar = (0.3) * 5 liters

Next, we can multiply",Mixture Problems,Medium,0.09009009009009009,2.3865239465594637e-155
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: To solve this problem, we can use the concept of rates.

John's rate of painting is 1 wall per 4 hours, as he takes 4 hours to paint one wall.
Mary's rate of painting is 1 wall per 6 hours, as she takes 6 hours to paint one wall.

When John and Mary work together, their combined rate of painting is the sum of their individual rates. So, their combined rate is:

1 wall/4 hours + 1 wall/6 hours = (6+4)/24 wall/hour = 10/24 wall/hour = 5/12 wall/hour

Now, we can use the",Work Problems,Medium,0.03007518796992481,5.470563275684957e-232
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Let's think step by step.Step 1: Define the variable.
Let Peter's current age be $x$.

Step 2: Write the equation based on the given information.
In 5 years, Peter will be $x + 5$ years old.
Three years ago, Peter was $x - 3$ years old.
According to the problem, Peter will be twice as old as he was 3 years ago, so we can write the equation:
$x + 5 = 2(x - 3)$

Step 3: Solve the equation.
First, distribute the 2 on the right side of the equation:
$x +",Age Problems (Complex),Medium,0.03333333333333333,6.559626053441466e-232
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: To solve this problem, we need to use the formula for compound interest:

A = P(1 + r/n)^(nt)

Where:
A = the future value of the investment/loan, including interest
P = the principal investment/loan amount
r = the annual interest rate (decimal)
n = the number of times that interest is compounded per year
t = the number of years the money is invested/borrowed for

In this case, Tom invests $1,000 at 5% interest, compounded annually. So, we have:

P = $1,000
r = 5% = 0.",Investment Problems,Medium,0.01785714285714286,0.0
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: Let's think step by step.Step 1: Define the variables.
Let the length of the garden be $l$ meters and the width be $w$ meters.

Step 2: Write the equations for the given information.
We are given that the perimeter of the garden is 30 meters and the area is 50 square meters. So, we can write the following equations:
- Perimeter: $2l + 2w = 30$
- Area: $lw = 50$

Step 3: Solve the perimeter equation for one of the variables.
We can solve the perimeter equation for $l$:
$2l +",Quadratic Equations,Hard,0.04918032786885246,7.229234202937077e-232
