question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer:
1. John starts with 5 apples.
2. He buys 3 more apples each day.
3. After 4 days, the number of apples he has is given by the initial number of apples plus the number of apples he bought each day for 4 days, which is 5 + (3 * 4) = 5 + 12 = 17.

Therefore, the final answer is $\boxed{17}$.",Simple Equations,Easy,3
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: 4 pens will cost $8.",Basic Arithmetic,Easy,4
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Tom is 7 years old.",Age Problems (Basic),Easy,16
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: The car travels 60 miles.",Distance-Rate-Time,Easy,11
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer:
John has 25 apples and Mary has 5 apples.

John has 25 apples and Mary has 5 apples, which satisfies the condition that John has 5 more apples than Mary.

Therefore, the final answer is $\boxed{\text{John has 25 apples and Mary has 5 apples}}$.",Equations with Two Variables,Medium,17
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: There are 1.5 liters of sugar in the solution.

The problem is asking for the amount of sugar in the solution, which is 30% of the total volume of the solution. To find the amount of sugar, we need to multiply the total volume of the solution by the percentage of sugar in the solution.

The formula for calculating the amount of sugar is:

Amount of sugar = Total volume of solution * Percentage of sugar

In this case, the total volume of the solution is 5 liters and the percentage of sugar is 30%, or 0.30 when expressed as a decimal.

So, the calculation would be:

Amount",Mixture Problems,Medium,5
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer:
John's rate of painting is 1 wall per 4 hours, so his rate is 1/4 wall per hour.
Mary's rate of painting is 1 wall per 6 hours, so her rate is 1/6 wall per hour.
Together, their combined rate is (1/4 + 1/6) wall per hour.
To find their combined rate, we need to find a common denominator, which is 12.
So, their combined rate is (3/12 + 2/12) = 5/12 wall per hour.
To find out how long it will take them to paint the wall together, we divide the total",Work Problems,Medium,2
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Peter is currently 12 years old.
Solution: 1. Let's denote Peter's current age as x.
2. According to the problem, in 5 years, Peter will be twice as old as he was 3 years ago. So, we can write this as: x + 5 = 2(x - 3).
3. Simplifying the equation, we get: x + 5 = 2x - 6.
4. Rearranging the terms, we get: x = 11.
5. Therefore, Peter is currently 12 years old.

$\boxed{\text{Peter is currently 12 years old",Age Problems (Complex),Medium,4
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: After 3 years, Tom will have $1,157.63.",Investment Problems,Medium,10
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer:
The dimensions of the garden are 10 meters by 5 meters.

To solve this problem, we can use the formula for the area of a rectangle, which is $A = lw$, where $A$ is the area, $l$ is the length, and $w$ is the width. We also know that the perimeter of a rectangle is given by $P = 2l + 2w$.

Given that the area $A = 50$ square meters and the perimeter $P = 30$ meters, we can set up the following equations:

1. $lw = 50$

2. $2l + 2w",Quadratic Equations,Hard,6
