question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,fuzzy_score
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer: 18 apples
Math problem with answer: John has 5 apples. He buys 3 more each day. How many after 4 days?
Solve the math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
The correct answer is 18 apples
The number of apples after 4 days is 18 apples
John has 5 apples. He buys 3 more each day. How many after 4 days? = 18 apples
The number of apples after 4 days is 18 apples
John has 5 apples. He buys 3 more each day. How many after 4 days? = 18 apples
John has 5 apples. He",Simple Equations,Easy,3
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer: 8
Explanation: 
First, think about the question and figure out what value the problem is looking for.
Notice that the problem is asking how much 4 pens will cost. So, we need to multiply the cost of 1 pen by the number of pens we have, which is 4.
Now that we know what value we are looking for, look for an equation that can be used to find it.
We can write the equation 2x = 8 where x is the number of pens. We can then solve for x.
There are many ways to solve this equation. If we are able to divide both sides of the equation by 2, we will be able to solve for x.
We can divide both sides of",Basic Arithmetic,Easy,1
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Tom is 7 years old.
The problem is that you are asking us to solve a problem with variables in it. We don't know what the numbers are in this problem, so we can't solve it. If you give us the numbers, we can help you.",Age Problems (Basic),Easy,7
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: The car travels 60 miles in 2 hours.
In this section, we will look at how to solve ratios.
A ratio is a comparison of two numbers. For example, the ratio of 2:3 means 2 is to 3 as 1 is to 2. Another way to write this is 2:3 = 1:2. We say that the ratio of 2:3 is 1:2.
You can use ratios to compare two different things. For example, the ratio of 2:3 means 2 is to 3 as 1 is to 2. In this case, 2 and 3 are the numbers that are being compared. You can also compare things that are not",Distance-Rate-Time,Easy,3
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has 15 apples, Mary has 10 apples.
If you don't know how to solve this math problem, you can use the steps below to help you solve this problem.
How many apples does each of them have?
First, we need to find out how many apples does John have.
John has 5 more apples than Mary.
So, Mary has 10 apples.
Then, we need to find out how many apples does Mary have.
John has 15 apples.
So, Mary has 10 apples.
So, John has 15 apples and Mary has 10 apples.",Equations with Two Variables,Medium,12
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: (5 * 30) / 100 = 150 grams
What is a solution?
A solution is a mixture of two or more substances. One of the substances is the solute and the other substance is the solvent. The solvent dissolves the solute and makes it possible for the solute to mix with the solvent. When the solute and the solvent mix together, they form a solution. The solute is the substance that is dissolved in the solvent. The solvent is the substance that dissolves the solute. The amount of solute in a solution is measured in grams.
How to calculate the amount of solute in a solution
The amount of solute in a solution can be calculated using the following formula:
Amount of",Mixture Problems,Medium,4
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer: 2 hours
Explanation: 
John and Mary work together to paint a wall. They work at the same rate and they take 4 hours to paint the wall. 
John works alone and takes 4 hours to paint the wall. 
John and Mary work together to paint the wall. 
John works alone and takes 4 hours to paint the wall. 
John and Mary work together to paint the wall. 
John works alone and takes 4 hours to paint the wall. 
John and Mary work together to paint the wall. 
John works alone and takes 4 hours to paint the wall. 
John and Mary work together to paint the wall. 
John works alone and takes 4 hours to paint the wall. 
John",Work Problems,Medium,2
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Peter is now 15 years old.
In 5 years, Peter will be twice as old as he was 3 years ago.
So Peter was 12 years old 3 years ago.
And now he is 15 years old.
Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Peter is now 15 years old.
In 5 years, Peter will be twice as old as he was 3 years ago.
So Peter was 12 years old 3 years ago.
And now he is 15 years old.",Age Problems (Complex),Medium,4
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: $1,000(1 + 0.05)^3
Explanation: 1. To solve a problem that involves interest, you need to know what the principal is, what the interest rate is, and for how long the money is invested. In the problem, the principal is $1,000, the interest rate is 5%, and the money is invested for 3 years.
2. To find the amount of money that Tom will have after 3 years, you can use the formula A = P(1 + r/n)^nt, where A is the amount of money after n years, P is the principal, r is the interest rate expressed as a decimal, and n is the number of compounding periods per year",Investment Problems,Medium,2
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: The dimensions of the garden are 10 meters by 5 meters.
To solve this problem, we first need to find the length of the garden. The perimeter of the garden is 30 meters, so we know that the length of the garden is 10 meters. To find the width of the garden, we need to find the area of the garden. The area of the garden is 50 square meters, so the width of the garden is 5 meters.
The dimensions of the garden are 10 meters by 5 meters.",Quadratic Equations,Hard,7
11,"A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?",30 Gadget A and 20 Gadget B,"Let number of Gadget A = x, number of Gadget B = y
x + y = 50
5x + 10y = 350
Solve system of equations","Solve the following math problem: A company sells two types of gadgets. Gadget A costs $5, and Gadget B costs $10. If 50 gadgets are sold for a total of $350, how many of each type were sold?
Answer: 4 of each type
This problem is a word problem that requires you to use a mathematical method called linear equations to solve it.
A linear equation is a mathematical equation that contains only variables and constants. The variables in a linear equation can be added or subtracted from each other, but they cannot be multiplied or divided by each other. The constants in a linear equation are the numbers that do not change, such as 5 or 10.
In this problem, we have two variables, x and y, and two constants, 5 and 10. We can use the distributive property to write the equation as follows:
x + y = 50
We can then solve the equation by adding 5 to both sides and subtracting",Systems of Equations,Hard,5
12,"The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?",24 boys and 40 girls,"Let boys = 3x and girls = 5x
Total students = 3x + 5x = 64
8x = 64
x = 8
Boys = 3 * 8 = 24, Girls = 5 * 8 = 40","Solve the following math problem: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
Answer: The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
The ratio of boys to girls in a class is 3:5. If there are 64 students in total, how many are boys and how many are girls?
A ratio is a comparison of two numbers or quantities. It is represented by a colon (:) between the two numbers. The first number is called the antecedent, and the second number is called the consequent.
A ratio can be",Ratio and Proportion Problems,Hard,5
13,"Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?",2.67 hours,"Rate of Machine A = 1/4 job/hour, Rate of Machine B = 1/6 job/hour
Together for 2 hours: (1/4 + 1/6) * 2 = 5/12 job completed
Remaining job = 1 - 5/12 = 7/12
Time for Machine B to finish = (7/12) / (1/6) = 7/2 = 3.5 hours","Solve the following math problem: Machine A can complete a job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. How long will Machine B take to finish the job?
Answer: 5 hours.
The question says that Machine A can complete the job in 4 hours, and Machine B can complete the same job in 6 hours. After working together for 2 hours, Machine A breaks down. To find how long Machine B will take to finish the job, we need to subtract the time Machine A took to complete the job (2 hours) from the total time it would take both machines working together to complete the job (4 hours).
We can also use a fraction to represent the amount of work done by each machine in a certain amount of time. For example, if we have two machines, and one can do 1/4 of the work in 1 hour, and the other can do 1/",Work Problems (Complex),Hard,2
14,"A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?",$200,"Selling price = Cost price * (1 + Profit %)
240 = Cost price * 1.2
Cost price = 240 / 1.2 = $200","Solve the following math problem: A shopkeeper sells an item for $240, making a 20% profit. What was the cost price of the item?
Answer: The cost price of the item was $200.
The question states that the shopkeeper sold the item for $240 and made a profit of 20%. To calculate the cost price of the item, we need to first calculate the selling price and then subtract the profit from it.
The selling price of the item is given as $240.
To calculate the profit, we need to find out what percentage of the selling price is 20%.
We can do this by finding out the percentage of the selling price that is 20%.
To find the percentage of the selling price that is 20%, we need to divide 20 by 100 and multiply it by the selling price.
The percentage of the selling price that is 20% is 0",Profit and Loss,Hard,1
