question_id,algebraic_word_problem,reference_answer,step_by_step_solution,predicted_answer,topic,difficulty,is_correct,time_taken
1,John has 5 apples. He buys 3 more each day. How many after 4 days?,17 apples,"Day 1: 5 + 3 = 8 apples
Day 2: 8 + 3 = 11 apples
Day 3: 11 + 3 = 14 apples
Day 4: 14 + 3 = 17 apples","Solve the following math problem: John has 5 apples. He buys 3 more each day. How many after 4 days?
Answer:

Let x be the number of days since he bought the first apples.

5+3x=

After 4 days, there were ____ apples.

Solve the following math problem: Find the value of x in the figure below:
Answer:  x = _______

Solve the following math problem: John and Mary have the same age. Mary has 3 brothers and 3 sisters. John has 5 sisters and 5 brothers. How many brothers and sisters do they have? (Answer as a whole number)
Answer: John and Mary have ____ brothers and sisters.

Answer to 5, 10, 15, 20, 25?
Answer:

The following figure shows a",Simple Equations,Easy,False,11.413278579711914
2,A pen costs $2. How much will 4 pens cost?,$8,4 pens * $2/pen = $8,"Solve the following math problem: A pen costs $2. How much will 4 pens cost?
Answer:

Solve the following math problem:  If you have 5 coins and they all add up to 20 cents, what is the value of each coin?
Answer:

Solve the following math problem: If you had 3 coins, they all added up to 30 cents, what is the value of each coin?
Answer:

Solve the following math problem:  You have five coins that add up to 40 cents. What are the coins and what are the values of each coin?
Answer:

Solve the following math problem: You have five coins, they add up to 30 cents, what are the coins and their values?
Answer:",Basic Arithmetic,Easy,False,10.359329462051392
3,"Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?",7 years old,Tom = Jane's age - 5 = 12 - 5 = 7,"Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Tom is ____ years old.

Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom?
Answer: Tom is ____ years old.

If you have 5 dollars, how much do you have if you have 10 dollars?

(If you want to get the correct answer, you have to know where it is)

If you have 5 dollars, how much do you have if you have 10 dollars?

(If you want to get the correct answer, you have to know where it is)

Solve the following math problem: Tom is 5 years younger than Jane. If Jane is 12, how old is Tom",Age Problems (Basic),Easy,False,11.015589952468872
4,A car travels at 30 miles per hour. How far does it travel in 2 hours?,60 miles,Distance = Speed * Time = 30 miles/hour * 2 hours = 60 miles,"Solve the following math problem: A car travels at 30 miles per hour. How far does it travel in 2 hours?
Answer: _______ miles",Distance-Rate-Time,Easy,False,0.2392578125
5,John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?,John has 17 apples and Mary has 13 apples,"Let Mary's apples = x
John's apples = x + 5
x + (x + 5) = 30
2x + 5 = 30
2x = 25
x = 12.5
John = 17.5, Mary = 12.5 (rounding for this example)","Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has ...... apples and Mary has ...... apples.

Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has .... apples and Mary has ... apples.

Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer: John has ... apples and Mary has ... apples.

<strong>Question 5:</strong>
Solve the following math problem: John and Mary together have 30 apples. John has 5 more apples than Mary. How many apples does each of them have?
Answer",Equations with Two Variables,Medium,False,11.064944505691528
6,"A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?",1.5 liters of sugar,Amount of sugar = 30% of 5 liters = 0.3 * 5 = 1.5 liters,"Solve the following math problem: A solution contains 30% sugar. If there are 5 liters of solution, how much sugar is in the solution?
Answer: The solution contains  grams of sugar.

Please type in your answer.

You are a teacher and you want to solve the following math problem with your students:

How many squares are in this figure?

You have 30 minutes to solve the math problem.
How much time do you have left?
Answer: hours and  minutes.

Please type in your answer.

Write the word that completes this sentence:
A  is a shape with four straight sides.

Please type in your answer.

A rectangle has a length of 6 inches and a width of 3 inches.
What is the perimeter of the rectangle?
Answer:  inches.

Please type in your answer.

A rectangle has",Mixture Problems,Medium,False,11.062366485595703
7,"John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?",2.4 hours,"John's rate = 1/4 walls/hour, Mary's rate = 1/6 walls/hour
Total rate = 1/4 + 1/6 = 5/12 walls/hour
Time = 1/(5/12) = 12/5 = 2.4 hours","Solve the following math problem: John takes 4 hours to paint a wall, while Mary takes 6 hours. How long will it take them to paint the wall together?
Answer:

A boy had a certain number of stamps in his collection. If he had 8 more stamps, the number of stamps would be 1/4 of the number of stamps he had. How many stamps did the boy have?
Answer:

If a certain number is divided by 2, then the quotient is 64. What is the number?
Answer:

If a certain number is divided by 3, then the quotient is 12. What is the number?
Answer:

The sum of two numbers is 44. The bigger one is 3 less than 4 times the smaller one. Find the two numbers.
Answer:

The sum of two numbers is 43. The",Work Problems,Medium,False,11.06057596206665
8,"In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?",11 years old,"Let Peter's current age = x
In 5 years, Peter's age = x + 5
3 years ago, Peter's age = x - 3
x + 5 = 2(x - 3)
x + 5 = 2x - 6
x = 11","Solve the following math problem: In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?
Answer: Peter is ... years old

Solve the following math problem:
In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?

Answer: Peter is ... years old

Solve the following math problem:
In 5 years, Peter will be twice as old as he was 3 years ago. How old is Peter now?

Answer: Peter is ... years old

Peter is 12 years old. His sister, Marie, is 3 years younger than him. How old is Marie?

Answer: Marie is .... year(s) old.

Solve the following math problem:
In 5 years, Peter will be twice as old as he was 3",Age Problems (Complex),Medium,False,11.056057453155518
9,"Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?","$1,157.63","A = P(1 + r/n)^(nt)
A = 1000(1 + 0.05/1)^(1*3)
A = 1000(1.05)^3 = 1000 * 1.157625 = $1,157.63","Solve the following math problem: Tom invests $1,000 at 5% interest, compounded annually. How much money will he have after 3 years?
Answer: $1,157.63

Solve the following math problem: What is the future value of $1,000 invested for 5 years at 10% interest, compounded annually?
Answer: $1,610.51

Solve the following math problem: What is the future value of $1,000 invested for 10 years at 10% interest, compounded annually?
Answer: $2,593.74

Solve the following math problem: What is the future value of $100 invested for 10 years at 10% interest, compounded annually?
Answer: $259.37

Solve the following math",Investment Problems,Medium,False,11.057150602340698
10,"A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?",5 meters by 10 meters,"Let length = l and width = w
Perimeter = 2(l + w) = 30
Area = l * w = 50
Solve system of equations: l + w = 15, lw = 50","Solve the following math problem: A rectangular garden has a perimeter of 30 meters, and its area is 50 square meters. What are the dimensions of the garden?
Answer: The dimensions of the garden are meters by meters.

Write the answer in the form ""m by n"", where m is the length in meters and n is the width in meters, separated by a space.",Quadratic Equations,Hard,False,3.2050974369049072
